Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.01      0.90     0.01  1249995     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> >&&)
  1.01      0.91     0.01  1249995     0.00     0.00  void std::__alloc_on_move<std::allocator<double> >(std::allocator<double>&, std::allocator<double>&)
  1.01      0.92     0.01   999996     0.00     0.00  DoublePendEquations::upperThetaPrime(double)
  1.01      0.93     0.01   999996     0.00     0.00  DoublePendEquations::getValues(double, std::vector<double, std::allocator<double> > const&)
  1.01      0.94     0.01   249999     0.00     0.00  void std::vector<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::_M_range_initialize<std::vector<double, std::allocator<double> >* const*>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::forward_iterator_tag)
  1.01      0.95     0.01    10000     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  1.01      0.96     0.01       52     0.19     0.19  void std::vector<double, std::allocator<double> >::_M_emplace_back_aux<double const&>(double const&)
  1.01      0.97     0.01        2     5.00     7.50  void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag)
  1.01      0.98     0.01        1    10.00   955.26  RK4::solve(double, double, std::vector<double, std::allocator<double> >)
  0.51      0.98     0.01  3750061     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.51      0.99     0.01  2499996     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.51      0.99     0.01        2     2.50     2.50  double* std::__uninitialized_copy_a<double const*, double*, double>(double const*, double const*, double*, std::allocator<double>&)
  0.00      0.99     0.00 22009917     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.99     0.00  8750105     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.99     0.00  7249995     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.99     0.00  3750061     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      0.99     0.00  3750005     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.99     0.00  2250167     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.00      0.99     0.00  2250163     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.99     0.00  2250051     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.99     0.00  2250051     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.99     0.00  2250051     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.99     0.00  2249995     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.99     0.00  2249993     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      0.99     0.00  1999996     0.00     0.00  void std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.99     0.00  1999996     0.00     0.00  void std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      0.99     0.00  1999992     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00      0.99     0.00  1999992     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00      0.99     0.00  1749993     0.00     0.00  std::remove_reference<std::allocator<double>&>::type&& std::move<std::allocator<double>&>(std::allocator<double>&)
  0.00      0.99     0.00  1499994     0.00     0.00  std::remove_reference<std::vector<double, std::allocator<double> >&>::type&& std::move<std::vector<double, std::allocator<double> >&>(std::vector<double, std::allocator<double> >&)
  0.00      0.99     0.00  1250109     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.99     0.00  1249998     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      0.99     0.00  1249997     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::allocator<double> const&)
  0.00      0.99     0.00  1249996     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> >::count() const
  0.00      0.99     0.00  1249996     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.99     0.00  1249996     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000l> >, std::ratio<1l, 1000l>, long, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.99     0.00  1249996     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> >::duration<long, void>(long const&)
  0.00      0.99     0.00  1249995     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_propagate_on_move_assign()
  0.00      0.99     0.00  1249995     0.00     0.00  void std::__do_alloc_on_move<std::allocator<double> >(std::allocator<double>&, std::allocator<double>&, std::integral_constant<bool, true>)
  0.00      0.99     0.00  1022496     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      0.99     0.00   999996     0.00     0.00  DoublePendEquations::lowerThetaPrime(double)
  0.00      0.99     0.00   999996     0.00     0.00  std::_Iter_base<std::vector<double, std::allocator<double> >* const*, false>::_S_base(std::vector<double, std::allocator<double> >* const*)
  0.00      0.99     0.00   499998     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> >*>::~new_allocator()
  0.00      0.99     0.00   499998     0.00     0.00  std::initializer_list<std::vector<double, std::allocator<double> >*>::begin() const
  0.00      0.99     0.00   499998     0.00     0.00  std::allocator<std::vector<double, std::allocator<double> >*>::~allocator()
  0.00      0.99     0.00   499998     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::_M_get_Tp_allocator()
  0.00      0.99     0.00   499998     0.00     0.00  std::_Miter_base<std::vector<double, std::allocator<double> >* const*>::iterator_type std::__miter_base<std::vector<double, std::allocator<double> >* const*>(std::vector<double, std::allocator<double> >* const*)
  0.00      0.99     0.00   499998     0.00     0.00  std::_Niter_base<std::vector<double, std::allocator<double> >* const*>::iterator_type std::__niter_base<std::vector<double, std::allocator<double> >* const*>(std::vector<double, std::allocator<double> >* const*)
  0.00      0.99     0.00   249999     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> >*>::deallocate(std::vector<double, std::allocator<double> >**, unsigned long)
  0.00      0.99     0.00   249999     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> >*>::allocate(unsigned long, void const*)
  0.00      0.99     0.00   249999     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> >*>::new_allocator(__gnu_cxx::new_allocator<std::vector<double, std::allocator<double> >*> const&)
  0.00      0.99     0.00   249999     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> >*>::new_allocator()
  0.00      0.99     0.00   249999     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> >*>::max_size() const
  0.00      0.99     0.00   249999     0.00     0.00  std::initializer_list<std::vector<double, std::allocator<double> >*>::end() const
  0.00      0.99     0.00   249999     0.00     0.00  std::initializer_list<std::vector<double, std::allocator<double> >*>::size() const
  0.00      0.99     0.00   249999     0.00     0.00  std::allocator<std::vector<double, std::allocator<double> >*>::allocator(std::allocator<std::vector<double, std::allocator<double> >*> const&)
  0.00      0.99     0.00   249999     0.00     0.00  std::allocator<std::vector<double, std::allocator<double> >*>::allocator()
  0.00      0.99     0.00   249999     0.00     0.00  std::_Iter_base<std::vector<double, std::allocator<double> >**, false>::_S_base(std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<std::vector<double, std::allocator<double> >*>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::vector<double, std::allocator<double> >**>(std::vector<double, std::allocator<double> >**, std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::_M_allocate(unsigned long)
  0.00      0.99     0.00   249999     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::_Vector_impl::_Vector_impl(std::allocator<std::vector<double, std::allocator<double> >*> const&)
  0.00      0.99     0.00   249999     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::_Vector_impl::~_Vector_impl()
  0.00      0.99     0.00   249999     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::_M_deallocate(std::vector<double, std::allocator<double> >**, unsigned long)
  0.00      0.99     0.00   249999     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::_Vector_base(std::allocator<std::vector<double, std::allocator<double> >*> const&)
  0.00      0.99     0.00   249999     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::~_Vector_base()
  0.00      0.99     0.00   249999     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double>&&)
  0.00      0.99     0.00   249999     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::_Vector_base<double, std::allocator<double> >&&)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >** std::__uninitialized_copy<true>::__uninit_copy<std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  void std::__uninitialized_fill_n<true>::__uninit_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::vector(std::initializer_list<std::vector<double, std::allocator<double> >*>, std::allocator<std::vector<double, std::allocator<double> >*> const&)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::~vector()
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_initialize(unsigned long, double const&)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> >&&)
  0.00      0.99     0.00   249999     0.00     0.00  std::iterator_traits<std::vector<double, std::allocator<double> >* const*>::difference_type std::__distance<std::vector<double, std::allocator<double> >* const*>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::random_access_iterator_tag)
  0.00      0.99     0.00   249999     0.00     0.00  std::_Niter_base<std::vector<double, std::allocator<double> >**>::iterator_type std::__niter_base<std::vector<double, std::allocator<double> >**>(std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >** std::__copy_move_a<false, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >** std::__copy_move_a2<false, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >** std::uninitialized_copy<std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  std::iterator_traits<std::vector<double, std::allocator<double> >* const*>::iterator_category std::__iterator_category<std::vector<double, std::allocator<double> >* const*>(std::vector<double, std::allocator<double> >* const* const&)
  0.00      0.99     0.00   249999     0.00     0.00  void std::uninitialized_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >** std::__uninitialized_copy_a<std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**, std::vector<double, std::allocator<double> >*>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**, std::allocator<std::vector<double, std::allocator<double> >*>&)
  0.00      0.99     0.00   249999     0.00     0.00  void std::__uninitialized_fill_n_a<double*, unsigned long, double, double>(double*, unsigned long, double const&, std::allocator<double>&)
  0.00      0.99     0.00   249999     0.00     0.00  std::vector<double, std::allocator<double> >** std::copy<std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  void std::_Destroy<std::vector<double, std::allocator<double> >**>(std::vector<double, std::allocator<double> >**, std::vector<double, std::allocator<double> >**)
  0.00      0.99     0.00   249999     0.00     0.00  void std::_Destroy<std::vector<double, std::allocator<double> >**, std::vector<double, std::allocator<double> >*>(std::vector<double, std::allocator<double> >**, std::vector<double, std::allocator<double> >**, std::allocator<std::vector<double, std::allocator<double> >*>&)
  0.00      0.99     0.00   249999     0.00     0.00  std::iterator_traits<std::vector<double, std::allocator<double> >* const*>::difference_type std::distance<std::vector<double, std::allocator<double> >* const*>(std::vector<double, std::allocator<double> >* const*, std::vector<double, std::allocator<double> >* const*)
  0.00      0.99     0.00    30052     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      0.99     0.00    10012     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.99     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00      0.99     0.00    10000     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<double> >::__construct_helper<double<double const&> >::value, void>::type std::allocator_traits<std::allocator<double> >::_S_construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      0.99     0.00    10000     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<double const&>)({parm#3}))) std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      0.99     0.00      112     0.00     0.00  std::move_iterator<double*>::base() const
  0.00      0.99     0.00      112     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.99     0.00      112     0.00     0.00  std::_Iter_base<std::move_iterator<double*>, true>::_S_base(std::move_iterator<double*>)
  0.00      0.99     0.00      112     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00      0.99     0.00      112     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<double> >::__maxsize_helper<std::allocator<double> const>::value, unsigned long>::type std::allocator_traits<std::allocator<double> >::_S_max_size<std::allocator<double> const>(std::allocator<double> const&)
  0.00      0.99     0.00      112     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.99     0.00      112     0.00     0.00  std::_Miter_base<std::move_iterator<double*> >::iterator_type std::__miter_base<std::move_iterator<double*> >(std::move_iterator<double*>)
  0.00      0.99     0.00      112     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double*, std::move_iterator<double*> >(double*)
  0.00      0.99     0.00       57     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.99     0.00       56     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      0.99     0.00       56     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.99     0.00       56     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.99     0.00       56     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00      0.99     0.00       56     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00      0.99     0.00       56     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.99     0.00       56     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.00      0.99     0.00       56     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      0.99     0.00       56     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.99     0.00       24     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00      0.99     0.00       16     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      0.99     0.00       16     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      0.99     0.00       16     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      0.99     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.99     0.00       12     0.00     0.00  void std::_Construct<std::vector<double, std::allocator<double> >>(std::vector<double, std::allocator<double> >*)
  0.00      0.99     0.00       12     0.00     0.00  void std::_Destroy<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*)
  0.00      0.99     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::base() const
  0.00      0.99     0.00        9     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.00      0.99     0.00        8     0.00     0.00  std::_Iter_base<double const*, false>::_S_base(double const*)
  0.00      0.99     0.00        8     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_get_Tp_allocator()
  0.00      0.99     0.00        6     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.99     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.99     0.00        5     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > const&)
  0.00      0.99     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      0.99     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      0.99     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::operator++()
  0.00      0.99     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> > >::max_size() const
  0.00      0.99     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.99     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::operator*() const
  0.00      0.99     0.00        4     0.00     0.00  std::initializer_list<double>::begin() const
  0.00      0.99     0.00        4     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, false>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.99     0.00        4     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.99     0.00        4     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.99     0.00        4     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<double, std::allocator<double> >*>(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*)
  0.00      0.99     0.00        4     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00      0.99     0.00        4     0.00     0.00  std::vector<double, std::allocator<double> >::resize(unsigned long)
